Simple Production Data Report
Start date:,2/21/2025 12:00:00 AM
End date:,3/20/2025 12:00:00 AM

Timestamp,University of San Diego - Alcala Borrego,University of San Diego - Alcala Laguna,University of San Diego - Camino Hall,University of San Diego - Copley Library,University of San Diego - Founders Hall,University of San Diego - Jenny Craig Pavillion,University of San Diego - Kroc,University of San Diego - Manchester A,University of San Diego - Manchester B,University of San Diego - Soles,University of San Diego - West Parking
,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy
,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh
2/26/2025 8:00:00 PM,0.0385812628064741,0,0,0.03125,0,0,0,0,0,0.00013919803313911,0.125
2/26/2025 9:00:00 PM,0.0390625,0.03125,0,0,0,0,0,0,0,0,0.125
2/26/2025 10:00:00 PM,0.0390782964741447,0.0625,0.125,0.03125,0,0,0.25,0.125,0,0.25,0.25
2/26/2025 11:00:00 PM,0.0400293293187133,0.03125,0,0.03125,0,0,0,0,0,0,0
2/27/2025 12:00:00 AM,0.0410221137872213,0,0,0,0,0,0,0,0,0,0.25
2/27/2025 1:00:00 AM,0.0390625000009095,0,0,0.03125,0,0,0.25,0.125,0,0.125,0.125
2/27/2025 2:00:00 AM,0.0410025392775424,0.03125,0,0.03125,0.125,0,0,0,0,0,0.125
2/27/2025 3:00:00 AM,0.0390820312504729,0.03125,0,0,0,0,0,0.125,0,0.25,0
2/27/2025 4:00:00 AM,0.0405273002024842,0.0625,0,0.03125,0,0,0,0,0,0,0.25
2/27/2025 5:00:00 AM,0.0400456164643401,0,0,0,0.25,0,0,0.125,0,0,0.125
2/27/2025 6:00:00 AM,0.0380891927079574,0.03125,0.5,0.260624999995343,0.625,0,0.5,0,0,0.62389196199365,0.875
2/27/2025 7:00:00 AM,2.59619466145887,2.65363712375984,7.5,6.0292187500163,23.78125,0,11,3.875,0,9.24930248246528,15.7441749721766
2/27/2025 8:00:00 AM,6.80113281250033,7.87605037627509,23.375,20.6629687499953,73.03125,0,13.25,15.875,0,31.4948688184377,54.3808250278234
2/27/2025 9:00:00 AM,11.4813779002925,13.0622916666325,39,34.4420312500442,121.65625,0,0,32.125,0,71.9889012209605,88.3529166668886
2/27/2025 10:00:00 AM,11.9130856716547,12.7808333333232,37,32.4344472946832,116.21875,0,0,30.25,0,62.8710439486895,90.7720833331114
2/27/2025 11:00:00 AM,15.0476763652414,15.6208544435212,43.75,38.6977402052726,137.6875,0,0.25,40.625,0,74.8414225557353,111.357142857043
2/27/2025 12:00:00 PM,13.6447437577863,14.2233122231555,39.375,34.5046898555011,123.65625,0,0,35,0,58.555569011718,101.004107143031
2/27/2025 1:00:00 PM,13.2989151651682,13.65625,37.75,32.9687476445106,118.40625,0,0,33.125,0,56.5,99.1387499999255
2/27/2025 2:00:00 PM,12.1685690957993,11.469062499993,32.875,28.9379640857805,102.8125,0,0.25,30,0,72.6090368728619,87.225448505138
2/27/2025 3:00:00 PM,9.95081967213082,7.93843749997905,22.75,21.5881061088876,73.40625,0,0,25.625,0,41.631635870086,68.149551494862
2/27/2025 4:00:00 PM,1.62430468920229,2.28156319219852,7.25,6.57434938015649,24.46875,0,0,12.75,0,15.2539327165578,32
2/27/2025 5:00:00 PM,0.0434700088244426,0.0939576411619782,0.375,0.242861675156746,0.625,0,0.25,0.125,0,0.505394540494308,2
2/27/2025 6:00:00 PM,0.031754503218508,0,0,0,0,0,0,0.125,0,0.125,0.125
2/27/2025 7:00:00 PM,0.0341796875,0,0,0.0625,0,0,0,0,0,0.125,0.249584717676044
2/27/2025 8:00:00 PM,0.0361230793196228,0.0625,0,0,0,0,0,0.125,0,0,0.00041528232395649
2/27/2025 9:00:00 PM,0.0336945965700579,0,0,0.03125,0.125,0,0.25,0,0,0,0.125
2/27/2025 10:00:00 PM,0.034684244791606,0.03125,0,0,0.125,0,0,0,0,0.125,0.125
2/27/2025 11:00:00 PM,0.0351497612127787,0.03125,0,0.03125,0,0,0,0.125,0,0.25,0.25
2/28/2025 12:00:00 AM,0.0380728950367484,0.03125,0,0,0,0,0.25,0,0,0.125,0
